id	tweet	class
0	 RT @mayasolovely  As a woman you shouldn't complain about cleaning up your house    as a man you should always take the trash out	NOT
1	 RT @mleew17  boy dats coldtyga dwn bad for cuffin dat hoe in the 1st place	OFF
2	 RT @UrKindOfBrand Dawg RT @80sbaby4life  You ever fuck a bitch and she start to cry You be confused as shit	OFF
3	 RT @C_G_Anderson  @viva_based she look like a tranny	OFF
4	 RT @ShenikaRoberts  The shit you hear about me might be true or it might be faker than the bitch who told it to ya  #57361 	OFF
5	T_Madison_x  The shit just blows meclaim you so faithful and down for somebody but still fucking with hoes  #128514  #128514  #128514 	OFF
6	__BrighterDays  I can not just sit up and HATE on another bitch  I got too much shit going on	OFF
7	 #8220 @selfiequeenbri  cause I'm tired of you big bitches coming for us skinny girls #8221 	OFF
8	   you might not get ya bitch back    thats that	OFF
9	@rhythmixx_  hobbies include  fighting Mariam  bitch	OFF
10	Keeks is a bitch she curves everyone lol I walked into a conversation like this Smh	OFF
11	Murda Gang bitch its Gang Land	OFF
12	So hoes that smoke are losers  yea  go on IG	OFF
13	bad bitches is the only thing that i like	OFF
14	bitch get up off me	OFF
15	bitch nigga miss me with it	OFF
16	bitch plz whatever	OFF
17	bitch who do you love	OFF
18	bitches get cut off everyday B	OFF
19	black bottle    a bad bitch	OFF
20	broke bitch cant tell me nothing	OFF
21	cancel that bitch like Nino	OFF
22	cant you see these hoes wont change	OFF
23	fuck no that bitch dont even suck dick  #128514  #128514  #128514  the Kermit videos bout to fuck IG up	OFF
24	got ya bitch tip toeing on my hardwood floors  #128514  http //tco/cOU2WQ5L4q	OFF
25	her pussy lips like Heaven doors  #128524 	OFF
26	hoe what its hitting for	OFF
27	i met that pussy on Ocean Dr  i gave that pussy a pill  #128524 	OFF
28	i need a trippy bitch who fuck on Hennessy	OFF
29	i spend my money how i want bitch its my business	OFF
30	i txt my old bitch my new bitch pussy wetter	OFF
31	i'd say im back to the old me but my old bitches would get excited  #128524 	OFF
